site,processed_photos,file_size_MB
stan_3k_2,re_calibration_IMG_0001_1.tif,2.465242
stan_3k_2,re_calibration_IMG_0001_2.tif,2.46524
stan_3k_2,re_calibration_IMG_0001_3.tif,2.46524
stan_3k_2,re_calibration_IMG_0001_4.tif,2.465242
stan_3k_2,re_calibration_IMG_0001_5.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0035_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0035_2.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0035_3.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0035_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0035_5.tif,2.46525
stan_3k_2,re_card-1_0000SET_000_IMG_0036_1.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0036_2.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0036_3.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0036_4.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0036_5.tif,2.465248
stan_3k_2,re_card-1_0000SET_000_IMG_0037_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0037_2.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0037_3.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0037_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0037_5.tif,2.46525
stan_3k_2,re_card-1_0000SET_000_IMG_0038_1.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0038_2.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0038_3.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0038_4.tif,2.465248
stan_3k_2,re_card-1_0000SET_000_IMG_0038_5.tif,2.465252
stan_3k_2,re_card-1_0000SET_000_IMG_0039_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0039_2.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0039_3.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0039_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0039_5.tif,2.46525
stan_3k_2,re_card-1_0000SET_000_IMG_0040_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0040_2.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0040_3.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0040_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0040_5.tif,2.46525
stan_3k_2,re_card-1_0000SET_000_IMG_0041_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0041_2.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0041_3.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0041_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0041_5.tif,2.46525
stan_3k_2,re_card-1_0000SET_000_IMG_0042_1.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0042_2.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0042_3.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0042_4.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0042_5.tif,2.465248
stan_3k_2,re_card-1_0000SET_000_IMG_0043_1.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0043_2.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0043_3.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0043_4.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0043_5.tif,2.465248
stan_3k_2,re_card-1_0000SET_000_IMG_0044_1.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0044_2.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0044_3.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0044_4.tif,2.465244
stan_3k_2,re_card-1_0000SET_000_IMG_0044_5.tif,2.465248
stan_3k_2,re_card-1_0000SET_000_IMG_0045_1.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0045_2.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0045_3.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0045_4.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0045_5.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0046_1.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0046_2.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0046_3.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0046_4.tif,2.465242
stan_3k_2,re_card-1_0000SET_000_IMG_0046_5.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0047_1.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0047_2.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0047_3.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0047_4.tif,2.46524
stan_3k_2,re_card-1_0000SET_000_IMG_0047_5.tif,2.465246
stan_3k_2,re_card-1_0000SET_000_IMG_0048_1.tif,2.465238
stan_3k_2,re_card-1_0000SET_000_IMG_0048_2.tif,2.465236
stan_3k_2,re_card-1_0000SET_000_IMG_0048_3.tif,2.465238
