site,processed_photos,file_size_MB
stan_3k_1,re_calibration_IMG_0002_1.tif,2.465238
stan_3k_1,re_calibration_IMG_0002_2.tif,2.465238
stan_3k_1,re_calibration_IMG_0002_3.tif,2.465238
stan_3k_1,re_calibration_IMG_0002_4.tif,2.46524
stan_3k_1,re_calibration_IMG_0002_5.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0042_1.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0042_2.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0042_3.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0042_4.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0042_5.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0043_1.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0043_2.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0043_3.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0043_4.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0043_5.tif,2.465256
stan_3k_1,re_card-1_0000SET_000_IMG_0044_1.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0044_2.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0044_3.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0044_4.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0044_5.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0045_1.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0045_2.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0045_3.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0045_4.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0045_5.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0046_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0046_2.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0046_3.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0046_4.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0046_5.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0047_1.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0047_2.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0047_3.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0047_4.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0047_5.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0048_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0048_2.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0048_3.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0048_4.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0048_5.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0049_1.tif,2.46525
stan_3k_1,re_card-1_0000SET_000_IMG_0049_2.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0049_3.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0049_4.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0049_5.tif,2.465252
stan_3k_1,re_card-1_0000SET_000_IMG_0050_1.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0050_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0050_3.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0050_4.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0050_5.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0051_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0051_2.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0051_3.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0051_4.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0051_5.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0052_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0052_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0052_3.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0052_4.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0052_5.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0053_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0053_2.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0053_3.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0053_4.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0053_5.tif,2.465248
stan_3k_1,re_card-1_0000SET_000_IMG_0054_1.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0054_2.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0054_3.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0054_4.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0054_5.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0055_1.tif,2.465234
stan_3k_1,re_card-1_0000SET_000_IMG_0055_2.tif,2.465232
stan_3k_1,re_card-1_0000SET_000_IMG_0055_3.tif,2.465234
stan_3k_1,re_card-1_0000SET_000_IMG_0055_4.tif,2.465234
stan_3k_1,re_card-1_0000SET_000_IMG_0055_5.tif,2.465238
stan_3k_1,re_card-1_0000SET_000_IMG_0056_1.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0056_2.tif,2.465238
stan_3k_1,re_card-1_0000SET_000_IMG_0056_3.tif,2.465238
stan_3k_1,re_card-1_0000SET_000_IMG_0056_4.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0056_5.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0057_1.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0057_2.tif,2.465238
stan_3k_1,re_card-1_0000SET_000_IMG_0057_3.tif,2.465238
stan_3k_1,re_card-1_0000SET_000_IMG_0057_4.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0057_5.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0058_1.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0058_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0058_3.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0058_4.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0058_5.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0059_1.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0059_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0059_3.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0059_4.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0059_5.tif,2.465244
stan_3k_1,re_card-1_0000SET_000_IMG_0060_1.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0060_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0060_3.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0060_4.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0060_5.tif,2.465246
stan_3k_1,re_card-1_0000SET_000_IMG_0061_1.tif,2.465242
stan_3k_1,re_card-1_0000SET_000_IMG_0061_2.tif,2.46524
stan_3k_1,re_card-1_0000SET_000_IMG_0061_3.tif,2.465242
