site,processed_photos,file_size_MB
stan_4k_2,re_calibration_IMG_0001_1.tif,2.465242
stan_4k_2,re_calibration_IMG_0001_2.tif,2.465242
stan_4k_2,re_calibration_IMG_0001_3.tif,2.465244
stan_4k_2,re_calibration_IMG_0001_4.tif,2.465246
stan_4k_2,re_calibration_IMG_0001_5.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0056_1.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0056_2.tif,2.465238
stan_4k_2,re_card-1_0000SET_000_IMG_0056_3.tif,2.465238
stan_4k_2,re_card-1_0000SET_000_IMG_0056_4.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0056_5.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0057_1.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0057_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0057_3.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0057_4.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0057_5.tif,2.46525
stan_4k_2,re_card-1_0000SET_000_IMG_0058_1.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0058_2.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0058_3.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0058_4.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0058_5.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0059_1.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0059_2.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0059_3.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0059_4.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0059_5.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0060_1.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0060_2.tif,2.465238
stan_4k_2,re_card-1_0000SET_000_IMG_0060_3.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0060_4.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0060_5.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0061_1.tif,2.465238
stan_4k_2,re_card-1_0000SET_000_IMG_0061_2.tif,2.465236
stan_4k_2,re_card-1_0000SET_000_IMG_0061_3.tif,2.465238
stan_4k_2,re_card-1_0000SET_000_IMG_0061_4.tif,2.46524
stan_4k_2,re_card-1_0000SET_000_IMG_0061_5.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0062_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0062_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0062_3.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0062_4.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0062_5.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0063_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0063_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0063_3.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0063_4.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0063_5.tif,2.46525
stan_4k_2,re_card-1_0000SET_000_IMG_0064_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0064_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0064_3.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0064_4.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0064_5.tif,2.46525
stan_4k_2,re_card-1_0000SET_000_IMG_0065_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0065_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0065_3.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0065_4.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0065_5.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0066_1.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0066_2.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0066_3.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0066_4.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0066_5.tif,2.46525
stan_4k_2,re_card-1_0000SET_000_IMG_0067_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0067_2.tif,2.465242
stan_4k_2,re_card-1_0000SET_000_IMG_0067_3.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0067_4.tif,2.465246
stan_4k_2,re_card-1_0000SET_000_IMG_0067_5.tif,2.465248
stan_4k_2,re_card-1_0000SET_000_IMG_0068_1.tif,2.465244
stan_4k_2,re_card-1_0000SET_000_IMG_0068_2.tif,2.465244
